Olay numarası,Lokasyon,Olay Tarihi,Olay Saati,Olay Tipi,Olay Grubu,Olay Alt Grubu,Saha,Olayın Kısa Açıklaması,OSAR Aşaması,Sorumlu Kişi,Seviye,Araştırmanın Tamamlanma Durumu,Olay Araştırma Kalan Gün sayısı,Döf Numarası,PE Seviye
1000877,BAK.MÜD./ENSTRUMAN ATÖLYESİ,17.06.2016,08:00:00,Kazaya ramak kala,İSG,Trafik kuralı ihlali,özel araç park yerindeki engelli araç yeri,Trafik kuralı ihlali,Olay tamamlandı,,,Geçersiz,0,7574,
1000880,3000 TANK SAHASI,23.05.2016,10:00:00,Olay,"PE, IG",PE-Kaçak/döküntü; İG-Tekrarlayan ekipman arızaları,TK-3092 yanı pipeway içi yürüme köprüsü altı.,3092 yanı pipewayde motorin hattında delinme,Olay tamamlandı,,,Zamanında tamamlandı,0,8520,
1000879,3000 TANK SAHASI,17.06.2016,12:00:00,Olay,"PE, IG",PE-Kaçak/döküntü; İG-Tekrarlayan ekipman arızaları,TK-3061 yanı yol tarafı pipeway içi,TK-3061 yanı pipeway içinde hampetrol hattında delinme,Olay tamamlandı,,,Gecikmeli tamamlandı,-23,8357,
1000881,PH 2400 LPG POMPA VE YÜKLEME İSTASYONU,17.06.2016,11:30:00,Kazaya ramak kala,İSG,Yüksekte duran emniyetsiz malzemeler; Yüksekte emniyetsiz çalışma.; İzinsiz ekipman kullanımı.; Çalışanın işle ilgili işbaşı eğitimi yok; Prosedürler/standartlar bilinmiyor,tk-3048,İzinsiz  ve emniyetsiz çalışma,Olay tamamlandı,,,Geçersiz,0,7664,
1000887,RAFİNERİ MÜDÜRLÜĞÜ,17.06.2016,08:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,özel araç park yerindeki engelli araç yeri,Trafik kuralı ihlali,Olay tamamlandı,,,Geçersiz,0,7637,
1000900,7000 HAM PETROL ÜNİTESİ,17.06.2016,16:00:00,Güvenlik izleme,İSG,Tehlikeli depolanmış malz. ve ekipmanlar; Uyarıcı işaretler eksik/yok; Yüksekte duran emniyetsiz malzemeler,7000 REWAMP ALANLARI,ÇEVRE TEMİZLİĞİ VE DAĞINIK ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,7638,
1000902,BAKIM MÜDÜRLÜĞÜ,20.06.2016,00:00:00,Güvenlik izleme,İSG,İzinsiz ekipman kullanımı.; Prosedürler/standartlar bilinmiyor; Ekipman çeklistleri doldurmadan kullanma,Mekabo şantiyesi arkası,Emniyetsiz durum ve talimatlara uymama,Olay tamamlandı,,,Geçersiz,0,7704,
1000904,1400 MEK.TOL.İLE YAĞI WAKSTAN ARINDIRMA,20.06.2016,10:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Koridorlar, çıkışlar",SS 1400 kapı girişlerinin önünde bulunana inşaat malzemeleri,SS 1400 ŞALT BİİNASI,Olay tamamlandı,,,Geçersiz,0,7639,
1000905,PROJE MÜDÜRLÜĞÜ,20.06.2016,10:00:00,Güvenlik izleme,İSG,Elektrik ile emniyetsiz çalışma.; Prosedürler/standartlar bilinmiyor,Yeni Dolum Sahası Yanı,Emniyetsiz durum ve talimatlara uymama,Olay tamamlandı,,,Geçersiz,0,7640,
1000906,İZMİR RAFİNERİSİ,20.06.2016,10:45:00,Kazaya ramak kala,İSG,İTA standardının uygulanması ihlalleri,2500Y UF sahası,2500Y,Olay tamamlandı,,,Geçersiz,0,,
